ID,State ID,State Regulation,Login,Company,Product Name,Renewal Estimate,Late Fee,State Reg Type,Initial Sub Date,Initial Registration Status,Renewal Current Payment,ALL Payments,Certificate Exp,Cancellation Effective,Submission Date,Approval Received,Frequency,Renewal Registration Status,Month,Submission/Maintenance Notes,Current Certificate,Invoiced On
5330,CA,CA-Commercial Fertilizer,ARB-CA-ALL NON-PEST-ALL,ARB,NutriRoot,$0.00,,Registration,,Approved,,ARB-CA-CC-FertProdRenew2022,6/30/2024,,7/30/2024,,Biennial,,"01, 07",No fee for renewal,,
5473,CA,CA-Commercial Fertilizer,ARB-CA-ALL NON-PEST-ALL,ARB,PALM-jet Mg,$0.00,,Registration,,Approved,,ARB-CA-CC-FertProdRenew2022,6/30/2024,,7/30/2024,,Biennial,,"01, 07",No fee for renewal,,
5396,CA,CA-Fertilizing Material License,ARB-CA-ALL NON-PEST-ALL,ARB,Fertilizer License,$100.00,,License,,Approved,ARB-CA-CC-2025 License Renewal,"ARB-CA-CC-License Renew 2023,ARB-CA-CC-2025 License Renewal",12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",,,ARB-90032228-State Renewal Fees
7866,CA,CA-Fertilizing Material License,BIN-CA-ALL NON-PEST-ALL,BIN,Fertilizer License,$100.00,,License,4/12/2023,Approved,BIN-CA-CC-2025 License Renewal,"BIN-CA-CC-New License,BIN-CA-CC-2025 License Renewal",12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",,,BIN-90032229-State Renewal Fees
6727,CA,CA-Fertilizing Material License,BOR-CA-ALL NON-PEST-ALL,BOR,Fertilizer License,$100.00,,License,,Approved,BOR-CA-CC-2025 Licenses Renewal,BOR-CA-CC-2025 Licenses Renewal,12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",14208 - Boron,,BOR-90032230-State Renewal Fees
6728,CA,CA-Fertilizing Material License,BOR-CA-ALL NON-PEST-ALL,BOR,Fertilizer License,$100.00,,License,,Approved,BOR-CA-CC-2025 Licenses Renewal,BOR-CA-CC-2025 Licenses Renewal,12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",14209 - Wilmington,,BOR-90032230-State Renewal Fees
6729,CA,CA-Fertilizing Material License,BOR-CA-ALL NON-PEST-ALL,BOR,Fertilizer License,$100.00,,License,,Approved,BOR-CA-CC-2025 Licenses Renewal,BOR-CA-CC-2025 Licenses Renewal,12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",645910 - Chicago ,,BOR-90032230-State Renewal Fees
2613,CA,CA-Fertilizing Material License,EEA-CA-ALL NON-PEST-ALL,EEA,Fertilizer License,$100.00,,License,12/29/2021,Approved,EEA-CA-CC-2025 Renewals,"EEA-CA-AMEX-EEA-CA-NewLicProdDec2021-,EEA-CA-CC-License Renew 2023,EEA-CA-CC-2025 Renewals",12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",,EEA CA Fert Lic exp 12:31:24.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738432800000/DUCu2iA5Iz0EsgkGNBu3WA/2ncAPfsD3QRgxUHhwVj1dJij7NHYw2KvTJ4pCwe74aidXyW8Wwy9GmcnxO3OmdQAmQe-bBADfOjQI807Vyk2D-X5P_SMXR4YAWWYrUR8T6gn3YMTa-mUGoc2HOOtNxscm9aGRPa65z81oP_Qx-Rlf1f61Rq6cS9_-t4dWkMu1V0/m1FlTRB-iWCHQjgdwtsn-QuJSDRdmmBll7Ym09J0fEU),EEA-90032231-State Renewal Fees
207,CA,CA-Fertilizing Material License,GWB-CA-ALL NON-PEST-ALL,GWB,Fertilizer License,$100.00,,License,,Approved,GWB-CA-CC-2025 License Renewal,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023,GWB-CA-CC-2025 License Renewal",12/31/2024,,1/9/2025,,Biennial,Renewal Submitted,"01, 07",,,GWB-90032232-State Renewal Fees
435,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella F,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,,"01, 07",,,GWB-90032232-State Renewal Fees
436,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella G,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,,"01, 07",,,GWB-90032232-State Renewal Fees
437,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella P,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,Renewal Planned,"01, 07",,,GWB-90032232-State Renewal Fees
438,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella S,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,,"01, 07",,,GWB-90032232-State Renewal Fees
439,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella WP,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CA-Renewals2021-22-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,,"01, 07",,,GWB-90032232-State Renewal Fees
1036,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Rootella X,$500.00,,Registration,,Approved,,GWB-CA-CC-Renew 2023,12/31/2024,,1/30/2023,,Biennial,Renewal Planned,"01, 07",,,GWB-90032232-State Renewal Fees
1791,CA,CA-Organic Materials Input,GWB-CA-ALL NON-PEST-ALL,GWB,Dynomyco,$500.00,,Registration,,Approved,,"GWB-CA-AMEX-GWB-CAOIM - DYN-,GWB-CA-CC-Renew 2023",12/31/2024,,1/30/2023,,Biennial,Renewal Planned,"01, 07",,,GWB-90032232-State Renewal Fees
5312,CA,CA-Fertilizing Material License,IBA-CA-ALL NON-PEST-ALL,IBA,Fertilizer License,$100.00,,License,7/27/2021,Approved - Initial,IBA-CA-CC-2025 License Renew,"IBA-CA-AMEX-IBA-CA-2021NewProdNewLic-,IBA-CA-CC-License Renew 2023,IBA-CA-CC-2025 License Renew",12/31/2024,,1/30/2025,,Biennial,Renewal Submitted,"01, 07",Wyoming,IB CA Fert License Exp 12:31:24.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738432800000/vxOwMyjeyx1ii1FAMGsRmQ/GbiYRR-RZ8LxM-ZcnrgATR_T1KZxBieoClZ2-KEAYj6rGW2bpxahiclF5CrZThWuX17BA1BuwbAYoqtSymIrM5ncRCmMoD9WN3PYI6AMB0tfaCyWr1z-10pYbOAAUn8LnydIkuoBLL_XKBxwsWT3jO5CjQnjY2p_C-b2vv8JR91efX1YC5MkjeZBi8nZs1A_/b7oKOGb4mkh8kegFjIa4Guz-ZVb-PcVjivpKsGvzK54),IBA-90032233-State Renewal Fees
756,CA,CA-Fertilizing Material License,MAN-CA-ALL NON-PEST-ALL,MAN,Fertilizer License,$100.00,,License,11/13/2020,Approved,,"MAN-CA-AMEX-MAN-CA-,MAN-CA-AMEX-MAN-CA-LicRenew2021-,MAN-CA-CC-Fert Lic Renew 2023",12/31/2024,,1/9/2025,,Biennial,Cancellation Submitted,"01, 07",,,
1225,CA,CA-Auxiliary soil and plant substance,SAG-CA-ALL NON-PEST-ALL,SAG,TRIOLOGIC,$50.00,,Registration,3/9/2021,Approved,SAG-CA-CC-2025 Renewals,"SAG-CA-AMEX-SAG-CA-TrioNewReg-,SAG-CA-AMEX-SAG-CA-TrilogicReg2-,SAG-CA-AMEX-SAG-CA-2022Renew-,SAG-CA-CC-2025 Renewals",12/31/2024,,1/10/2025,,Biennial,Renewal Submitted,"01, 07",,,SAG-90032234-State Renewal Fees
1227,CA,CA-Fertilizing Material License,SAG-CA-ALL NON-PEST-ALL,SAG,Fertilizer License,$100.00,,License,3/9/2021,Approved,SAG-CA-CC-2025 Renewals,"SAG-CA-AMEX-SAG-CALicFee-,SAG-CA-CC-License Renew 2023,SAG-CA-CC-2025 Renewals",12/31/2024,,1/10/2025,,Biennial,Renewal Submitted,"01, 07",,,SAG-90032234-State Renewal Fees
262,CA,CA-Auxiliary soil and plant substance,SYM-CA-ALL NON-PEST-ALL,SYM,Resid MG,$50.00,,Registration,,Approved,,"SYM-CA-AMEX-SYM-CA-2022Renewals-,SYM-CA-CC-2024 Renewal",6/29/2024,,1/31/2024,,Biennial,,"01, 07",CDFA requested updates are pending,CA SYM fert cert exp 6:29:24.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1738432800000/okng5u3nPOP0ECVU8qM6VQ/mRcKHA9Qwxg4MhL_X-Bo1_4-Y8il6FAU5KRTrQZteVcjfnGIySrRrN3yFh8kG1rPK0cDa6O4DHh_wqNJa1_43Msmt3T_xDoflYcsvAnQ0oNpLjsbSgMVFUSuSr2RyNCwkckEj2Fyigw9lRA0zOcj2_NGmCdepmtBoUna62V-I1M/-nHfRRNOn-lq11B4VxeEAuwvAP2XRsjINFEJ41xKPcs),SYM-90032235-State Renewal Fees
1171,CA,CA-Fertilizing Material License,SYM-CA-ALL NON-PEST-ALL,SYM,Fertilizer License,$100.00,,License,,Approved,SYM-CA-CC-2025 License Renewals,"SYM-CA-AMEX-SYM-CA-FertLicRenew2021-,SYM-CA-CC-License Renew 2023,SYM-CA-CC-2024 Renew,SYM-CA-CC-2025 License Renewals",12/31/2024,,1/10/2025,,Biennial,Cancellation Submitted,"01, 07",License 637288 - Ventura CA,,SYM-90032235-State Renewal Fees
1172,CA,CA-Fertilizing Material License,SYM-CA-ALL NON-PEST-ALL,SYM,Fertilizer License,$100.00,,License,,Approved,SYM-CA-CC-2025 License Renewals,"SYM-CA-AMEX-SYM-CA-FertLicRenew2021-,SYM-CA-CC-License Renew 2023,SYM-CA-CC-2024 Renew,SYM-CA-CC-2025 License Renewals",12/31/2024,,1/10/2025,,Biennial,Renewal Submitted,"01, 07",License 702836 - Murcia Spain,,SYM-90032235-State Renewal Fees
1173,CA,CA-Fertilizing Material License,SYM-CA-ALL NON-PEST-ALL,SYM,Fertilizer License,$100.00,,License,,Approved,SYM-CA-CC-2025 License Renewals,"SYM-CA-AMEX-SYM-CA-FertLicRenew2021-,SYM-CA-CC-License Renew 2023,SYM-CA-CC-2024 Renew,SYM-CA-CC-2025 License Renewals",12/31/2024,,1/10/2025,,Biennial,Renewal Submitted,"01, 07",License 719136 - Oxnard CA,,SYM-90032235-State Renewal Fees
5333,DE,DE-Commercial Fertilizer - ≤ 10lbs,ARB-DE-Fertilizer-Product Registration,ARB,NutriRoot,$40.00,,Registration,,Approved,ARB-DE-CC-2025 Product Renewal,"ARB-DE-CC-Renew 2023,ARB-DE-CC-2024 Fert Renewal,ARB-DE-CC-2025 Product Renewal",12/31/2024,,12/11/2024,,Annual,Renewal Submitted,12,,,ARB-90032228-State Renewal Fees
5407,DE,DE-Commercial Fertilizer - ≤ 10lbs,ARB-DE-Fertilizer-Product Registration,ARB,Mn-jet Fe,$40.00,,Registration,,Approved,ARB-DE-CC-2025 Product Renewal,"ARB-DE-CC-Renew 2023,ARB-DE-CC-2024 Fert Renewal,ARB-DE-CC-2025 Product Renewal",12/31/2024,,12/11/2024,,Annual,Renewal Submitted,12,,,ARB-90032228-State Renewal Fees
5476,DE,DE-Commercial Fertilizer - ≤ 10lbs,ARB-DE-Fertilizer-Product Registration,ARB,PALM-jet Mg,$40.00,,Registration,,Approved,ARB-DE-CC-2025 Product Renewal,"ARB-DE-CC-Renew 2023,ARB-DE-CC-2024 Fert Renewal,ARB-DE-CC-2025 Product Renewal",12/31/2024,,12/11/2024,,Annual,Renewal Submitted,12,,,ARB-90032228-State Renewal Fees
10499,DE,DE-Commercial Fertilizer - ≤ 10lbs,ARB-DE-Fertilizer-Product Registration,ARB,Nutriroot Granular,$40.00,,Registration,2/13/2024,Approved - Initial,ARB-DE-CC-2025 Product Renewal,"ARB-DE-CC-NutriRoot Gran New Reg,ARB-DE-CC-2025 Product Renewal",12/31/2024,,12/11/2024,,Annual,Renewal Submitted,12,,,ARB-90032228-State Renewal Fees
7788,DE,DE-Soil Conditioner - BOTH SIZES,BIN-DE-Soil/Plant Amendment-Product Registration,BIN,BIO-ELEVATE,$40.00,,Registration,5/2/2023,Approved,BIN-DE-CC-2025 Product renewal,"BIN-DE-CC-BioElevate New Reg,BIN-DE-CC-2024 Product Renewal,BIN-DE-CC-2025 Product renewal",12/31/2024,,11/26/2024,,Annual,Renewal Submitted,12,,,BIN-90032229-State Renewal Fees
7129,DE,DE-Commercial Fertilizer - >10lbs,BOR-DE-Fertilizer-Product Registration,BOR,Fertibor 15%,$1.15,,Registration,,Approved,BOR-DE-CC-2025 Prod Renew,"BOR-DE-CC-Renew 2023,BOR-DE-CC-2024 Renewal,BOR-DE-CC-2025 Prod Renew",12/31/2024,,11/26/2024,,Annual,Renewal Submitted,12,,,BOR-90032230-State Renewal Fees
7130,DE,DE-Commercial Fertilizer - >10lbs,BOR-DE-Fertilizer-Product Registration,BOR,Granubor 15%,$1.15,,Registration,,Approved,BOR-DE-CC-2025 Prod Renew,"BOR-DE-CC-Renew 2023,BOR-DE-CC-2024 Renewal,BOR-DE-CC-2025 Prod Renew",12/31/2024,,11/26/2024,,Annual,Renewal Submitted,12,,,BOR-90032230-State Renewal Fees
7131,DE,DE-Commercial Fertilizer - >10lbs,BOR-DE-Fertilizer-Product Registration,BOR,Solubor 20.5%,$1.15,,Registration,,Approved,BOR-DE-CC-2025 Prod Renew,"BOR-DE-CC-Renew 2023,BOR-DE-CC-2024 Renewal,BOR-DE-CC-2025 Prod Renew",12/31/2024,,11/26/2024,,Annual,Renewal Submitted,12,,,BOR-90032230-State Renewal Fees
10631,DE,DE-Commercial Fertilizer - >10lbs,EEA-DE-Soil/Plant Amendment-Product Registration,EEA,Res+,$1.15,,Registration,8/12/2024,Approved - Initial,EEA-DE-CC-2025 Product Renewal,"EEA-DE-CC-Res+ New Reg,EEA-DE-CC-2025 Product Renewal",12/31/2024,,11/26/2024,8/14/2024,Annual,Renewal Submitted,12,,,EEA-90032231-State Renewal Fees
2533,DE,DE-Soil Conditioner - > 10lbs,EEA-DE-Soil/Plant Amendment-Product Registration,EEA,Sosdia Stress,$1.15,,Registration,3/15/2022,Approved,EEA-DE-CC-2025 Product Renewal,"EEA-DE-AMEX-EEA-DE-NewRegs2022-,EEA-DE-CC-Renew 2023,EEA-DE-CC-2024 Renewal,EEA-DE-CC-2025 Product Renewal",12/31/2024,,11/26/2024,1/2/2024,Annual,Renewal Submitted,12,,,EEA-90032231-State Renewal Fees
2618,DE,DE-Soil Conditioner - > 10lbs,EEA-DE-Soil/Plant Amendment-Product Registration,EEA,Sosdia Stress Plus,$1.15,,Registration,3/15/2022,Approved,EEA-DE-CC-2025 Product Renewal,"EEA-DE-AMEX-EEA-DE-NewRegs2022-,EEA-DE-CC-Renew 2023,EEA-DE-CC-2024 Renewal,EEA-DE-CC-2025 Product Renewal",12/31/2024,,11/26/2024,1/2/2024,Annual,Renewal Submitted,12,,,EEA-90032231-State Renewal Fees
10571,DE,DE-Soil Conditioner - > 10lbs,EEA-DE-Soil/Plant Amendment-Product Registration,EEA,Galaxy ST,$1.15,,Registration,8/12/2024,Approved - Initial,EEA-DE-CC-2025 Product Renewal,"""EEA-DE, ND-CC-NEW REGS ND & DE"",EEA-DE-CC-2025 Product Renewal",12/31/2024,,11/26/2024,9/13/2024,Annual,Renewal Submitted,12,,,EEA-90032231-State Renewal Fees
9343,DE,DE-Commercial Fertilizer - >10lbs,OMY-DE-Fertilizer-Product Registration,OMY,Greenlight S Prime,$1.15,,Registration,,Approved,OMY-DE-CC-2025 Fert Prod Renewal,"OMY-DE-CC-2024 Renewal,OMY-DE-CC-2025 Fert Prod Renewal",12/31/2024,,11/22/2024,,Annual,Renewal Submitted,12,,,"""OMY-90032106-State Renewal Fees, Tonnage Fees"""
9344,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Omya Calciprill,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9345,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Ca,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9346,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Ca Max,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9347,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Ca Prime,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9348,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Mg,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9349,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Mg Max,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9350,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Mg Prime,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9351,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Ground Force Lime,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9352,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Magprill 65,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9353,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Magprill 65 - STU,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9354,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Omya Calciprill 95,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9355,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,TopFlow 130 - SY,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
13278,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Ca Fairway,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
13279,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Ca Greens,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
13280,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Mg Greens,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
13281,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,Greenlight Mg Fairway,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
13282,DE,DE-Liming Material,OMY-DE-Lime-Product Registration,OMY,OmyaPro Calcium,$11.50,,Registration,,Approved,OMY-DE-CC-24-25 MY Lime Renewals,OMY-DE-CC-24-25 MY Lime Renewals,6/30/2024,,6/30/2024,,Annual,,07,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9371,GA,GA-Fertilizer,,OMY,Greenlight S,$0.00,,Label Submission,,Approved,,,6/30/2024,,6/28/2024,,Annual,,06,"Free ""registrations"", just have to check renew in Kelly Reg",,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
9372,GA,GA-Fertilizer,,OMY,Greenlight S Max,$0.00,,Label Submission,,Approved,,,6/30/2024,,6/28/2024,,Annual,,06,"Free ""registrations"", just have to check renew in Kelly Reg",,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
