State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
AL-Pesticide,AL,Alabama,Pesticide,,Pesticide,N/A,,,,No,No,Registration,Annual,12,$600.00,$600.00,,$/Registration,,,,,,,(334) 240-7244,,,Paper/Mail,,"Label,SDS",,30,,,,,,,,Online Portal,,,,,,,,,,,Alabama Dept of Agriculture & Industries,Pesticide Registration Section,1445 Federal Drive,Montgomery,AL,36107,Pesticide,1342,,1342,,,,,End of Year
AL-Soil Amendment,AL,Alabama,Soil Amendment,,Amendment/Conditioner,N/A,0,Increased nutrient availability/uptake,,Yes,No,Label Submission,Annual,10,$0.00,$0.00,,$/Registration,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,Label,,30,,,No,None,,,,Online Portal,Current Labels (every year),Online Portal,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,,,,,,,,Biostimulant,"104,198,232,265,313,925,896,1122,1214,1439,1851,1946,2056,2520,2524,3635,3950,4539,5171,5226,5541,5697,6022,6074,2801,6425,6176,6465,6087,6506,6260,6569,6312,7681,7549,7615,7218,7351,7285,7417,7483,7152,7824,8172,8187,8251,8315,8433,8874,9243,9296,9862,10015,10080,10158,10237,10329,10564,10952,11024,11502,11580,11658,11813,11891,11969,12047,12125,12203,12281,12359,12437,12515,12593,12671,12821,12941,13170,13299,13831,13832,13833,13834,13835,13836,13991,14083","COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL","104,198,232,265,313,896,925,1122,1214,1439,1851,1946,2056,2520,2524,2801,3635,3950,4539,5171,5226,5541,5697,6022,6074,6087,6176,6260,6312,6425,6465,6506,6569,7152,7218,7285,7351,7417,7483,7549,7615,7681,7824,8172,8187,8251,8315,8433,8874,9243,9296,9862,10015,10080,10158,10237,10329,10564,10952,11024,12821,12941,13299,11502,11580,11658,11891,11813,11969,13170,12047,12125,12203,12281,12359,12671,12437,12515,12593",,,,,End of Year
AR-Adjuvant,AR,Arkansas,Adjuvant,,Adjuvant,N/A,0,,,No,No,No Regulation,,,,,,,,,,,,,,,State Plant Board,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,,,,,,,,,,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://dec.alaska.gov/eh/pest/registration/,,,,,Alaska Division of Environmental Health,Pesticide Control Program ,,,,,Adjuvant,,,,,,,,
AR-Adjuvant/Pesticide,AR,Arkansas,Adjuvant/Pesticide,,Adjuvant,N/A,0,,,No,No,Registration,Annual,12,$320.00,$320.00,,$/Registration,,,Brandi Reynolds,brandi.reynolds@agriculture.arkansas.gov,,,,,State Plant Board,Paper/Mail,,"Label,SDS",,30,,,,,,,,Paper/Mail,,,,,,,,,,,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Adjuvant,"908,1343,5763,5773",,"908,1343,5763,5773",,,,,End of Year
AR-Beneficial Substance,AR,Arkansas,Beneficial Substance,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-Commercial Fertilizer,AR,Arkansas,Commercial Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Registration,Annual,06,$25.00,$25.00,,$/Registration,,,Mike Stage,Mike.stage@agriculture.arkansas.gov,,,(501) 219-6338,fertilizer@agriculture.arkansas.gov,State Plant Board,Online Portal,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Label,SDS",3 months,30,Challenging,,No,,,,,Online Portal,Updated labels,Email,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,"Name Change,Guarantee Change,Registrant Change",,,,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Fertilizer,"1014,2968,5329,5403,5472,5807,6002,6736,6737,6738,7958,8601,8685,8733,9027,9093,9159,9309,9844,9845,9846,9847,9935,10360,10624,12750,13471,13685","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","1014,2968,5329,5403,5472,5807,6002,6736,6737,6738,7958,8601,8685,8733,9027,9093,9159,9309,9844,9845,9846,9847,9935,10360,10624,12750",,,,,Mid Year
AR-Facility License,AR,Arkansas,Facility License,,Fertilizer,N/A,> 0,,,No,No,License,Annual,06,$50.00,$50.00,,$/License,,,Mike Stage,Mike.stage@agriculture.arkansas.gov,,,(501) 219-6338,fertilizer@agriculture.arkansas.gov,State Plant Board,"Paper/Mail,Online Portal",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,30,,,,,,,,Online Portal,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,,,,Facility License is only required if you have a facility in Arkansas.,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Fertilizer,"3533,5992,13424","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","3533,5992,13424",,,,,Mid Year
AR-Lime Quarterly Tonnage Report,AR,Arkansas,Lime Quarterly Tonnage Report,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Quarterly,,,,$0.3000,$/Ton Sold,$0.00,,Mike Stage,,,,,limestone@agriculture.arkansas.gov,State Plant Board,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,,,,,,,,,,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Email,Online Portal",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,,,,,,,,,,,Tonnage,8961,"OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL",8961,,,,"01,04,07,10",
AR-Liming Material,AR,Arkansas,Liming Material,,Liming Material,N/A,,,,No,Yes,Registration,Annual,06,$15.00,$15.00,,$/Registration,,,Mike Stage,,,,,limestone@agriculture.arkansas.gov,State Plant Board,"Online Portal,Email",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,Label,1 Month,30,Easy,,No,,,,,"Email,Online Portal",,Email,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,,,,,,,,,,,,"8988,8995,8990,8993,8991,8989,8992,8994,13360","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","8988,8989,8990,8991,8992,8993,8994,8995",,,,,Mid Year
AR-Monthly Fertilizer Tonnage Reports,AR,Arkansas,Monthly Fertilizer Tonnage Reports,,Fertilizer,N/A,,,,No,Yes,Tonnage/Mill,Monthly,,,,$2.4000,$/Ton Sold,$0.00,,Paulina Ramsey,paulina.ramsey@agriculture.arkansas.gov,,,(501) 219-6339,fertilizer@agriculture.arkansas.gov,State Plant Board,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,,,,,,,,,,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Email,Online Portal",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,,,,,,,,,,,Tonnage,"703,1339,6648,6899,7091,7092,7093,7094,7095,7096,7097,7098,7099,7100,8820,12888","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","703,1339,6648,6899,7091,7092,7093,7094,7095,7096,7097,7098,7099,7100,8820,12888",,,,"01,02,03,04,05,06,07,08,09,10,11,12",
AR-Pesticide,AR,Arkansas,Pesticide,,Pesticide,N/A,,,,No,No,Registration,Annual,12,$300.00,$300.00,,$/Registration,,,Brandi Reynolds,brandi.reynolds@agriculture.arkansas.gov,,,,,State Plant Board,Paper/Mail,,"Label,SDS",,30,,,,,,,,Paper/Mail,,,,,,,,,,,,Arkansas State Plant Board,PO BOX 1069,Little Rock,AR,72203,Pesticide,1343,,1343,,,,,End of Year
AR-SA Inspection fee and sales reports,AR,Arkansas,SA Inspection fee and sales reports,,Amendment/Conditioner,N/A,,,,Yes,Yes,Tonnage/Mill,Monthly,,,,$0.3750,$/Ton Sold,$0.00,,Paulina Ramsey,paulina.ramsey@agriculture.arkansas.gov,,,(501) 219-6339,soil.amendment@arkansas.gov,State Plant Board,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,,,,,,,,,,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,"Email,Online Portal",https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,https://www.agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/,,,,,,,,,,,Tonnage,"1085,1226,2960,5324,5694,6649,6900,7101,6635,6895,6983,7102,7103,7104,8821,12889","OMY-AR-Lime-ALL,OMY-AR-Fertilizer-ALL,ARB-AR-Fertilizer-ALL,BOR-AR-Fertilizer-ALL,EEA-AR-Fertilizer-ALL,EEA-AR-Soil/Plant Amendment-ALL,GWB-AR-Soil/Plant Amendment-ALL,SYM-AR-Fertilizer-ALL,SYM-AR-Soil/Plant Amendment-ALL,VER-AR-Fertilizer-ALL,VER-AR-Soil/Plant Amendment-ALL","1085,1226,2960,5324,5694,6635,6649,6895,6900,6983,7101,7102,7103,7104,8821,12889",,,,"01,02,03,04,05,06,07,08,09,10,11,12",
